nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
235,45,64,128,2,0.002,0.1,50,MSE,2025-12-17 12:05:14,2025-12-17 12:05:44,1,0.1201919987797737,0.0299946013838052,0.173189491033554,0.8011811023622047
119,30,64,128,3,0.001,0.2,50,MSE,2025-12-17 11:33:02,2025-12-17 11:33:34,1,0.1294780522584915,0.0362226627767086,0.1903225183486938,0.8003913894324853
111,30,64,128,2,0.002,0.2,50,MSE,2025-12-17 11:29:58,2025-12-17 11:30:19,1,0.1299002021551132,0.0312774255871772,0.1768542528152465,0.8062622309197651
110,30,64,128,2,0.002,0.2,30,MAE,2025-12-17 11:29:45,2025-12-17 11:29:58,1,0.1302154809236526,0.0404539108276367,0.2011315822601318,0.8043052837573386
232,45,64,128,2,0.001,0.2,50,MAE,2025-12-17 12:04:10,2025-12-17 12:04:39,1,0.1354831159114837,0.0396932400763034,0.1992316246032714,0.8070866141732284
243,45,64,128,3,0.001,0.1,50,MSE,2025-12-17 12:08:41,2025-12-17 12:09:25,1,0.1460439711809158,0.0598051063716411,0.2445508241653442,0.8031496062992126
139,45,32,64,2,0.002,0.1,50,MSE,2025-12-17 11:38:31,2025-12-17 11:38:39,1,0.1492239534854889,0.0439837425947189,0.2097230106592178,0.8051181102362205
42,30,32,128,2,0.002,0.1,30,MAE,2025-12-17 11:14:10,2025-12-17 11:14:24,1,0.1526894867420196,0.062366634607315,0.2497331202030182,0.812133072407045
77,30,64,64,2,0.002,0.2,30,MSE,2025-12-17 11:24:25,2025-12-17 11:24:28,1,0.1528626978397369,0.0674126371741294,0.2596394419670105,0.8003913894324853
135,45,32,64,2,0.001,0.2,50,MSE,2025-12-17 11:38:07,2025-12-17 11:38:14,1,0.153391808271408,0.0584332570433616,0.2417297214269638,0.8031496062992126
106,30,64,128,2,0.002,0.1,30,MAE,2025-12-17 11:28:37,2025-12-17 11:28:50,1,0.154081106185913,0.0560603886842727,0.236770749092102,0.8062622309197651
11,30,32,64,2,0.002,0.1,50,MSE,2025-12-17 11:08:24,2025-12-17 11:08:33,1,0.155626580119133,0.077050432562828,0.2775796055793762,0.8043052837573386
238,45,64,128,2,0.002,0.2,30,MAE,2025-12-17 12:06:31,2025-12-17 12:06:49,1,0.1582970023155212,0.0664530768990516,0.2577849328517914,0.8031496062992126
47,30,32,128,2,0.002,0.2,50,MSE,2025-12-17 11:15:36,2025-12-17 11:15:59,1,0.1585560888051986,0.0474367812275886,0.2177998721599578,0.8101761252446184
51,30,32,128,3,0.001,0.1,50,MSE,2025-12-17 11:17:03,2025-12-17 11:17:37,1,0.1586913764476776,0.0638484954833984,0.2526825964450836,0.8062622309197651
170,45,32,128,2,0.002,0.1,30,MAE,2025-12-17 11:45:11,2025-12-17 11:45:30,1,0.158781960606575,0.0769340395927429,0.2773698568344116,0.8090551181102362
236,45,64,128,2,0.002,0.1,50,MAE,2025-12-17 12:05:44,2025-12-17 12:06:13,1,0.1691821068525314,0.0761742517352104,0.2759968340396881,0.8110236220472441
137,45,32,64,2,0.002,0.1,30,MSE,2025-12-17 11:38:22,2025-12-17 11:38:27,1,0.1700277477502823,0.0731249675154686,0.2704162895679474,0.8011811023622047
179,45,32,128,3,0.001,0.1,50,MSE,2025-12-17 11:49:07,2025-12-17 11:49:54,1,0.1719249188899994,0.0968176797032356,0.3111554086208343,0.8031496062992126
240,45,64,128,2,0.002,0.2,50,MAE,2025-12-17 12:07:18,2025-12-17 12:07:48,1,0.1724623292684555,0.0519994236528873,0.2280338257551193,0.8090551181102362
43,30,32,128,2,0.002,0.1,50,MSE,2025-12-17 11:14:24,2025-12-17 11:14:46,1,0.1752860248088836,0.0514722913503646,0.2268750518560409,0.8101761252446184
142,45,32,64,2,0.002,0.2,30,MAE,2025-12-17 11:38:51,2025-12-17 11:38:56,1,0.1787837892770767,0.1137425154447555,0.3372573554515838,0.8110236220472441
58,30,32,128,3,0.002,0.1,30,MAE,2025-12-17 11:20:21,2025-12-17 11:20:42,1,0.1809933930635452,0.1106020212173461,0.3325688242912292,0.8023483365949119
136,45,32,64,2,0.001,0.2,50,MAE,2025-12-17 11:38:14,2025-12-17 11:38:22,1,0.181553304195404,0.1154110878705978,0.339722067117691,0.8070866141732284
36,30,32,128,2,0.001,0.1,50,MAE,2025-12-17 11:12:19,2025-12-17 11:12:42,1,0.182935893535614,0.1005443558096885,0.3170872926712036,0.8101761252446184
74,30,64,64,2,0.002,0.1,30,MAE,2025-12-17 11:24:13,2025-12-17 11:24:16,1,0.1912150382995605,0.0956854000687599,0.309330552816391,0.8062622309197651
8,30,32,64,2,0.001,0.2,50,MAE,2025-12-17 11:08:04,2025-12-17 11:08:13,1,0.1966444849967956,0.1436131596565246,0.3789632618427276,0.8003913894324853
124,30,64,128,3,0.002,0.1,50,MAE,2025-12-17 11:35:17,2025-12-17 11:35:49,1,0.2039989978075027,0.1604030877351761,0.400503545999527,0.8043052837573386
208,45,64,64,2,0.002,0.2,50,MAE,2025-12-17 11:59:24,2025-12-17 11:59:30,1,0.2066689133644104,0.1284299045801162,0.3583711683750152,0.8070866141732284
120,30,64,128,3,0.001,0.2,50,MAE,2025-12-17 11:33:34,2025-12-17 11:34:06,1,0.2085278779268264,0.0775682181119918,0.278510719537735,0.8003913894324853
144,45,32,64,2,0.002,0.2,50,MAE,2025-12-17 11:39:03,2025-12-17 11:39:11,1,0.2127644717693328,0.1551795005798339,0.3939282894134521,0.8090551181102362
168,45,32,128,2,0.001,0.2,50,MAE,2025-12-17 11:44:22,2025-12-17 11:44:53,1,0.2145081460475921,0.081565536558628,0.2855968177318573,0.8149606299212598
190,45,32,128,3,0.002,0.2,30,MAE,2025-12-17 11:56:07,2025-12-17 11:56:35,1,0.215270534157753,0.1818584948778152,0.4264487028121948,0.8051181102362205
4,30,32,64,2,0.001,0.1,50,MAE,2025-12-17 11:07:36,2025-12-17 11:07:45,1,0.2207458913326263,0.1893589049577713,0.4351538717746734,0.8043052837573386
80,30,64,64,2,0.002,0.2,50,MAE,2025-12-17 11:24:35,2025-12-17 11:24:40,1,0.2209571897983551,0.1770791709423065,0.4208077490329742,0.8023483365949119
207,45,64,64,2,0.002,0.2,50,MSE,2025-12-17 11:59:18,2025-12-17 11:59:24,1,0.2239281386137008,0.1084077730774879,0.3292533457279205,0.8090551181102362
34,30,32,128,2,0.001,0.1,30,MAE,2025-12-17 11:11:42,2025-12-17 11:11:56,1,0.2248261868953704,0.1104662865400314,0.3323646783828735,0.8062622309197651
108,30,64,128,2,0.002,0.1,50,MAE,2025-12-17 11:29:11,2025-12-17 11:29:32,1,0.2287020087242126,0.1379720717668533,0.3714459240436554,0.812133072407045
128,30,64,128,3,0.002,0.2,50,MAE,2025-12-17 11:37:00,2025-12-17 11:37:32,1,0.2310901135206222,0.179283857345581,0.4234192371368408,0.8043052837573386
14,30,32,64,2,0.002,0.2,30,MAE,2025-12-17 11:08:47,2025-12-17 11:08:52,1,0.232169821858406,0.2002901285886764,0.4475378394126892,0.8101761252446184
40,30,32,128,2,0.001,0.2,50,MAE,2025-12-17 11:13:33,2025-12-17 11:13:56,1,0.2386851012706756,0.1345937252044677,0.3668701648712158,0.8043052837573386
204,45,64,64,2,0.002,0.1,50,MAE,2025-12-17 11:59:03,2025-12-17 11:59:10,1,0.2390737831592559,0.1704004108905792,0.4127958416938782,0.8051181102362205
52,30,32,128,3,0.001,0.1,50,MAE,2025-12-17 11:17:37,2025-12-17 11:18:11,1,0.2420198172330856,0.2084979265928268,0.4566157460212707,0.8023483365949119
228,45,64,128,2,0.001,0.1,50,MAE,2025-12-17 12:02:35,2025-12-17 12:03:05,1,0.246867299079895,0.1255752295255661,0.3543659448623657,0.8011811023622047
107,30,64,128,2,0.002,0.1,50,MSE,2025-12-17 11:28:50,2025-12-17 11:29:11,1,0.2536370754241943,0.1030452251434326,0.321006566286087,0.8043052837573386
138,45,32,64,2,0.002,0.1,30,MAE,2025-12-17 11:38:27,2025-12-17 11:38:31,1,0.2558177709579468,0.2772783935070038,0.5265722870826721,0.8070866141732284
252,45,64,128,3,0.002,0.1,50,MAE,2025-12-17 12:14:10,2025-12-17 12:14:54,1,0.2574770450592041,0.1974402666091919,0.4443425238132477,0.8090551181102362
140,45,32,64,2,0.002,0.1,50,MAE,2025-12-17 11:38:39,2025-12-17 11:38:47,1,0.2592529654502868,0.253033310174942,0.503024160861969,0.812992125984252
15,30,32,64,2,0.002,0.2,50,MSE,2025-12-17 11:08:52,2025-12-17 11:09:01,1,0.2601903080940246,0.1408544480800628,0.3753058016300201,0.8160469667318982
174,45,32,128,2,0.002,0.2,30,MAE,2025-12-17 11:46:51,2025-12-17 11:47:09,1,0.2604886293411255,0.0894854068756103,0.2991411089897156,0.8051181102362205
132,45,32,64,2,0.001,0.1,50,MAE,2025-12-17 11:37:50,2025-12-17 11:37:57,1,0.2660003900527954,0.2461800426244735,0.4961653351783752,0.8011811023622047
151,45,32,64,3,0.001,0.2,50,MSE,2025-12-17 11:40:00,2025-12-17 11:40:12,1,0.2668067216873169,0.2509917020797729,0.5009907484054565,0.8169291338582677
104,30,64,128,2,0.001,0.2,50,MAE,2025-12-17 11:28:03,2025-12-17 11:28:24,1,0.2688978910446167,0.1408821046352386,0.3753426373004913,0.8062622309197651
176,45,32,128,2,0.002,0.2,50,MAE,2025-12-17 11:47:40,2025-12-17 11:48:11,1,0.2696624100208282,0.2536585330963135,0.5036452412605286,0.8070866141732284
191,45,32,128,3,0.002,0.2,50,MSE,2025-12-17 11:56:35,2025-12-17 11:57:21,1,0.270539790391922,0.2748629748821258,0.5242737531661987,0.8011811023622047
167,45,32,128,2,0.001,0.2,50,MSE,2025-12-17 11:43:51,2025-12-17 11:44:22,1,0.2759713232517242,0.1047890111804008,0.3237113058567047,0.8090551181102362
