nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
1,30,32,32,2,0.001,0.1,30,MSE,2025-11-07 22:27:51,2025-11-07 22:27:55,0.5972164869308472,0.8069505095481873,0.8983042240142822,0.512720156555773
2,30,32,32,2,0.001,0.1,30,MAE,2025-11-07 22:27:55,2025-11-07 22:28:01,0.48779940605163574,0.5507287979125977,0.7421110272407532,0.5107632093933464
3,30,32,32,2,0.001,0.1,50,MSE,2025-11-07 22:28:01,2025-11-07 22:28:10,0.45667675137519836,0.46614837646484375,0.6827505826950073,0.5146771037181996
4,30,32,32,2,0.001,0.1,50,MAE,2025-11-07 22:28:10,2025-11-07 22:28:18,0.4447042942047119,0.5140955448150635,0.7170045375823975,0.5068493150684932
5,30,32,32,2,0.001,0.2,30,MSE,2025-11-07 22:28:18,2025-11-07 22:28:23,0.7312102913856506,1.1021287441253662,1.0498231649398804,0.4931506849315068
6,30,32,32,2,0.001,0.2,30,MAE,2025-11-07 22:28:23,2025-11-07 22:28:28,0.6855994462966919,1.0591140985488892,1.0291327238082886,0.5146771037181996
7,30,32,32,2,0.001,0.2,50,MSE,2025-11-07 22:28:28,2025-11-07 22:28:36,0.6413178443908691,0.943449079990387,0.9713130593299866,0.50293542074364
8,30,32,32,2,0.001,0.2,50,MAE,2025-11-07 22:28:36,2025-11-07 22:28:44,0.7326880097389221,0.945037841796875,0.9721305966377258,0.4911937377690802
9,30,32,32,2,0.002,0.1,30,MSE,2025-11-07 22:28:44,2025-11-07 22:28:49,0.3728570342063904,0.34315288066864014,0.5857925415039062,0.512720156555773
10,30,32,32,2,0.002,0.1,30,MAE,2025-11-07 22:28:49,2025-11-07 22:28:54,0.6349091529846191,0.8907788395881653,0.9438108205795288,0.49510763209393344
11,30,32,32,2,0.002,0.1,50,MSE,2025-11-07 22:28:54,2025-11-07 22:29:03,0.42084693908691406,0.4552745223045349,0.6747403144836426,0.50293542074364
12,30,32,32,2,0.002,0.1,50,MAE,2025-11-07 22:29:03,2025-11-07 22:29:11,0.5571088790893555,0.7235112190246582,0.8505946397781372,0.4892367906066536
13,30,32,32,2,0.002,0.2,30,MSE,2025-11-07 22:29:11,2025-11-07 22:29:16,0.4786834716796875,0.43390098214149475,0.6587116122245789,0.512720156555773
14,30,32,32,2,0.002,0.2,30,MAE,2025-11-07 22:29:16,2025-11-07 22:29:21,0.42569613456726074,0.4348127841949463,0.659403383731842,0.4931506849315068
15,30,32,32,2,0.002,0.2,50,MSE,2025-11-07 22:29:21,2025-11-07 22:29:29,0.6232714653015137,0.8090021014213562,0.8994454145431519,0.5009784735812133
16,30,32,32,2,0.002,0.2,50,MAE,2025-11-07 22:29:29,2025-11-07 22:29:38,0.3574616312980652,0.3164643347263336,0.5625516176223755,0.4931506849315068
17,30,32,32,3,0.001,0.1,30,MSE,2025-11-07 22:29:38,2025-11-07 22:29:44,0.8228389024734497,1.6391555070877075,1.2802951335906982,0.5088062622309197
18,30,32,32,3,0.001,0.1,30,MAE,2025-11-07 22:29:44,2025-11-07 22:29:49,0.8008906841278076,1.3308221101760864,1.1536126136779785,0.49706457925636005
19,30,32,32,3,0.001,0.1,50,MSE,2025-11-07 22:29:49,2025-11-07 22:29:59,0.6652077436447144,1.0186699628829956,1.0092917680740356,0.49510763209393344
20,30,32,32,3,0.001,0.1,50,MAE,2025-11-07 22:29:59,2025-11-07 22:30:08,0.6712251305580139,1.2618218660354614,1.1233084201812744,0.5088062622309197
