nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
1,30,32,64,2,0.001,0.1,30,MSE,2025-11-20 21:44:23,2025-11-20 21:44:27,1,0.165686696767807,0.052422527223825455,0.22895966470241547,0.776908023483366
2,30,32,64,2,0.001,0.1,30,MAE,2025-11-20 21:44:27,2025-11-20 21:44:32,1,0.1685512363910675,0.0635133609175682,0.2520185708999634,0.7945205479452054
3,30,32,64,2,0.001,0.1,50,MSE,2025-11-20 21:44:32,2025-11-20 21:44:39,1,0.15366671979427338,0.05169868841767311,0.22737345099449158,0.7945205479452054
4,30,32,64,2,0.001,0.1,50,MAE,2025-11-20 21:44:39,2025-11-20 21:44:47,1,0.38209182024002075,0.36276280879974365,0.6022979617118835,0.8082191780821918
5,30,32,64,2,0.001,0.2,30,MSE,2025-11-20 21:44:48,2025-11-20 21:44:53,1,0.23603609204292297,0.15067709982395172,0.3881714940071106,0.8023483365949119
6,30,32,64,2,0.001,0.2,30,MAE,2025-11-20 21:44:53,2025-11-20 21:44:58,1,0.22670075297355652,0.1566975861787796,0.39585044980049133,0.7945205479452054
7,30,32,64,2,0.001,0.2,50,MSE,2025-11-20 21:44:58,2025-11-20 21:45:07,1,0.20983090996742249,0.13436545431613922,0.3665589392185211,0.7984344422700587
8,30,32,64,2,0.001,0.2,50,MAE,2025-11-20 21:45:07,2025-11-20 21:45:15,1,0.20399683713912964,0.11391203850507736,0.33750858902931213,0.812133072407045
9,30,32,64,2,0.002,0.1,30,MSE,2025-11-20 21:45:15,2025-11-20 21:45:21,1,0.15103068947792053,0.06238867715001106,0.24977725744247437,0.8023483365949119
10,30,32,64,2,0.002,0.1,30,MAE,2025-11-20 21:45:21,2025-11-20 21:45:26,1,0.21738962829113007,0.127109557390213,0.356524258852005,0.8082191780821918
11,30,32,64,2,0.002,0.1,50,MSE,2025-11-20 21:45:26,2025-11-20 21:45:35,1,0.167805016040802,0.07012110203504562,0.2648038864135742,0.812133072407045
12,30,32,64,2,0.002,0.1,50,MAE,2025-11-20 21:45:35,2025-11-20 21:45:44,1,0.30984288454055786,0.3602190315723419,0.6001824736595154,0.7925636007827789
13,30,32,64,2,0.002,0.2,30,MSE,2025-11-20 21:45:44,2025-11-20 21:45:50,1,0.19488832354545593,0.07355733215808868,0.2712145447731018,0.8003913894324853
14,30,32,64,2,0.002,0.2,30,MAE,2025-11-20 21:45:50,2025-11-20 21:45:55,1,0.45025336742401123,0.4173736870288849,0.6460446715354919,0.812133072407045
15,30,32,64,2,0.002,0.2,50,MSE,2025-11-20 21:45:55,2025-11-20 21:46:04,1,0.34899160265922546,0.3959299325942993,0.6292296051979065,0.8023483365949119
16,30,32,64,2,0.002,0.2,50,MAE,2025-11-20 21:46:04,2025-11-20 21:46:13,1,0.42099082469940186,0.5983163714408875,0.77350914478302,0.8101761252446184
17,30,32,64,3,0.001,0.1,30,MSE,2025-11-20 21:46:13,2025-11-20 21:46:19,1,0.4727715849876404,0.49672019481658936,0.7047837972640991,0.7925636007827789
18,30,32,64,3,0.001,0.1,30,MAE,2025-11-20 21:46:19,2025-11-20 21:46:25,1,0.38657093048095703,0.5485655665397644,0.7406521439552307,0.8043052837573386
19,30,32,64,3,0.001,0.1,50,MSE,2025-11-20 21:46:25,2025-11-20 21:46:35,1,0.22618341445922852,0.22063452005386353,0.46971750259399414,0.8062622309197651
20,30,32,64,3,0.001,0.1,50,MAE,2025-11-20 21:46:35,2025-11-20 21:46:45,1,0.2672024965286255,0.2858384847640991,0.5346386432647705,0.8082191780821918
21,30,32,64,3,0.001,0.2,30,MSE,2025-11-20 21:46:46,2025-11-20 21:46:52,1,0.30362629890441895,0.3405262529850006,0.5835462808609009,0.7808219178082192
22,30,32,64,3,0.001,0.2,30,MAE,2025-11-20 21:46:52,2025-11-20 21:46:58,1,0.5244261026382446,0.7037662267684937,0.838907778263092,0.7886497064579256
23,30,32,64,3,0.001,0.2,50,MSE,2025-11-20 21:46:58,2025-11-20 21:47:08,1,0.5675126910209656,0.8009171485900879,0.8949397206306458,0.7925636007827789
24,30,32,64,3,0.001,0.2,50,MAE,2025-11-20 21:47:08,2025-11-20 21:47:18,1,0.43460553884506226,0.6093853712081909,0.7806313633918762,0.8140900195694716
25,30,32,64,3,0.002,0.1,30,MSE,2025-11-20 21:47:18,2025-11-20 21:47:24,1,0.29875242710113525,0.3568480610847473,0.5973675847053528,0.7964774951076321
26,30,32,64,3,0.002,0.1,30,MAE,2025-11-20 21:47:24,2025-11-20 21:47:31,1,0.5956364870071411,1.081056833267212,1.0397387742996216,0.8043052837573386
27,30,32,64,3,0.002,0.1,50,MSE,2025-11-20 21:47:31,2025-11-20 21:47:43,1,0.6798264980316162,1.3443409204483032,1.1594572067260742,0.8023483365949119
28,30,32,64,3,0.002,0.1,50,MAE,2025-11-20 21:47:43,2025-11-20 21:47:53,1,0.6830861568450928,1.3795671463012695,1.1745498180389404,0.8003913894324853
29,30,32,64,3,0.002,0.2,30,MSE,2025-11-20 21:47:53,2025-11-20 21:47:58,1,0.19307254254817963,0.10670570284128189,0.3266583979129791,0.8043052837573386
30,30,32,64,3,0.002,0.2,30,MAE,2025-11-20 21:47:58,2025-11-20 21:48:04,1,0.4840083718299866,0.8813859224319458,0.93882155418396,0.7945205479452054
31,30,32,64,3,0.002,0.2,50,MSE,2025-11-20 21:48:04,2025-11-20 21:48:14,1,0.737750232219696,1.486264944076538,1.219124674797058,0.8003913894324853
32,30,32,64,3,0.002,0.2,50,MAE,2025-11-20 21:48:14,2025-11-20 21:48:23,1,0.7347157001495361,1.4071632623672485,1.1862391233444214,0.8140900195694716
33,30,32,128,2,0.001,0.1,30,MSE,2025-11-20 21:48:24,2025-11-20 21:48:37,1,0.16203832626342773,0.06007537990808487,0.24510279297828674,0.7984344422700587
34,30,32,128,2,0.001,0.1,30,MAE,2025-11-20 21:48:37,2025-11-20 21:48:51,1,0.16382229328155518,0.054858241230249405,0.23421835899353027,0.8023483365949119
35,30,32,128,2,0.001,0.1,50,MSE,2025-11-20 21:48:51,2025-11-20 21:49:14,1,0.14236922562122345,0.0367252491414547,0.19163833558559418,0.8023483365949119
36,30,32,128,2,0.001,0.1,50,MAE,2025-11-20 21:49:14,2025-11-20 21:49:37,1,0.23703442513942719,0.11473289877176285,0.33872243762016296,0.8101761252446184
37,30,32,128,2,0.001,0.2,30,MSE,2025-11-20 21:49:37,2025-11-20 21:49:51,1,0.1573105901479721,0.04648652672767639,0.21560734510421753,0.8003913894324853
38,30,32,128,2,0.001,0.2,30,MAE,2025-11-20 21:49:51,2025-11-20 21:50:04,1,0.1392384171485901,0.043021831661462784,0.20741704106330872,0.8023483365949119
39,30,32,128,2,0.001,0.2,50,MSE,2025-11-20 21:50:04,2025-11-20 21:50:27,1,0.1769978404045105,0.05632573366165161,0.23733043670654297,0.8003913894324853
40,30,32,128,2,0.001,0.2,50,MAE,2025-11-20 21:50:27,2025-11-20 21:50:50,1,0.20739276707172394,0.14641359448432922,0.3826403021812439,0.812133072407045
41,30,32,128,2,0.002,0.1,30,MSE,2025-11-20 21:50:50,2025-11-20 21:51:04,1,0.11803875863552094,0.026339363306760788,0.16229405999183655,0.7945205479452054
42,30,32,128,2,0.002,0.1,30,MAE,2025-11-20 21:51:04,2025-11-20 21:51:18,1,0.24333450198173523,0.19403214752674103,0.44049081206321716,0.8140900195694716
43,30,32,128,2,0.002,0.1,50,MSE,2025-11-20 21:51:18,2025-11-20 21:51:40,1,0.14089077711105347,0.04330053925514221,0.20808781683444977,0.8023483365949119
44,30,32,128,2,0.002,0.1,50,MAE,2025-11-20 21:51:41,2025-11-20 21:52:03,1,0.37141793966293335,0.3022947907447815,0.5498133897781372,0.8160469667318982
45,30,32,128,2,0.002,0.2,30,MSE,2025-11-20 21:52:03,2025-11-20 21:52:17,1,0.20590738952159882,0.07881639897823334,0.2807425856590271,0.7945205479452054
46,30,32,128,2,0.002,0.2,30,MAE,2025-11-20 21:52:17,2025-11-20 21:52:31,1,0.6505283713340759,0.7000467777252197,0.8366879820823669,0.812133072407045
47,30,32,128,2,0.002,0.2,50,MSE,2025-11-20 21:52:31,2025-11-20 21:52:54,1,0.16786642372608185,0.08823107182979584,0.29703715443611145,0.8062622309197651
48,30,32,128,2,0.002,0.2,50,MAE,2025-11-20 21:52:54,2025-11-20 21:53:17,1,0.483434796333313,0.5033870339393616,0.7094977498054504,0.8160469667318982
49,30,32,128,3,0.001,0.1,30,MSE,2025-11-20 21:53:17,2025-11-20 21:53:37,1,0.16198217868804932,0.07125724107027054,0.26694053411483765,0.7964774951076321
